"logFC"	"logCPM"	"PValue"	"FDR"
"ENSG00000123838.10"	12.0366164818884	8.69074752545444	1.79929344398463e-25	9.10385234995084e-21
"ENSG00000132703.3"	10.2788989621142	11.4981032472863	4.60613920665474e-25	9.10385234995084e-21
"ENSG00000124253.10"	11.5780099039692	8.23146557558403	4.8516790808542e-25	9.10385234995084e-21
"ENSG00000130649.9"	10.6970212434584	10.0390886687995	1.0649234865361e-24	1.49869344568941e-20
"ENSG00000113600.10"	9.74405582075127	10.3751002930352	2.04308183084072e-23	2.30022411007033e-19
"ENSG00000160862.12"	10.3003122086157	9.17252323589956	5.71227804245377e-23	5.35935446406417e-19
"ENSG00000021852.12"	8.66785056823833	7.02607512010745	6.51045017122588e-20	5.23561102126883e-16
"ENSG00000101981.10"	13.1629620670181	7.728312873422	1.01314794382704e-19	7.12914215023193e-16
"ENSG00000116785.13"	9.61987572206803	6.23225034704534	2.47780058655684e-19	1.54980920465604e-15
"ENSG00000106327.12"	10.4992542573328	8.49890697485279	8.07900235040922e-19	4.54791279311586e-15
"ENSG00000115290.9"	8.70254898270148	6.11843663045734	1.16848290138564e-18	5.97976436070015e-15
"ENSG00000134538.2"	9.41410466402282	7.31832929199955	1.84790821283817e-18	8.66869141877491e-15
"ENSG00000111700.12"	13.3106999038514	7.87579250970094	3.07839180048037e-18	1.33301468941878e-14
"ENSG00000166278.14"	7.92000402277904	6.24693147982525	3.43184858764555e-18	1.37992180388808e-14
"ENSG00000138356.13"	6.97483210908639	6.94719110068996	5.14485993295669e-18	1.9307973347062e-14
"ENSG00000009724.16"	9.7311549689776	6.340160549036	1.44752244632676e-17	5.09283631694201e-14
"ENSG00000135094.10"	9.00670684152435	5.62425933519199	1.78183843655743e-17	5.90029594759573e-14
"ENSG00000125730.16"	7.94604567764215	10.0250575943974	2.61442841726144e-17	7.78339089539703e-14
"ENSG00000134389.9"	10.8830830244912	5.45946842179348	2.62704824778469e-17	7.78339089539703e-14
"ENSG00000167286.9"	-6.55861082077091	8.58728866309681	3.96829783784063e-17	1.11693695092781e-13
"ENSG00000125148.6"	8.07874607885569	11.4376281649619	5.08231634891643e-17	1.36237540109311e-13
"ENSG00000162840.4"	8.58644296809217	7.42455715035796	6.46499716948806e-17	1.65424584391814e-13
"ENSG00000244414.6"	10.3995500993597	9.79333556959595	7.48908266207704e-17	1.83296926215784e-13
"ENSG00000117594.9"	12.4792965439021	7.04641552623141	8.83817778348347e-17	2.07303142485681e-13
"ENSG00000215866.7"	-6.99492652926727	9.43812311182312	1.0571596716029e-16	2.38042757574169e-13
"ENSG00000169715.14"	8.93431457097283	9.63084993302999	1.23034199698994e-16	2.66383238602133e-13
"ENSG00000163762.6"	-7.38828670986854	6.4807431209886	1.40704054716389e-16	2.89881255212429e-13
"ENSG00000182326.14"	7.47598523502165	7.8214507662859	1.44186224680653e-16	2.89881255212429e-13
"ENSG00000145476.15"	10.945888585665	5.52170736816393	1.68253133830452e-16	3.26602540093711e-13
"ENSG00000139209.15"	8.097846152625	6.66747312388156	1.83156272672756e-16	3.35732293673459e-13
"ENSG00000267467.3"	13.2032835660726	7.76859927721779	1.84884463501274e-16	3.35732293673459e-13
"ENSG00000135144.7"	10.8573937268728	5.43406366575285	2.11801106736342e-16	3.72591240672153e-13
"ENSG00000118514.13"	10.5500007223751	5.13007343226297	2.23309899186421e-16	3.80932853178824e-13
"ENSG00000136872.17"	7.8766263000612	8.57524468681642	4.38133150005059e-16	7.25406747448082e-13
"ENSG00000187193.8"	8.29261704766729	11.1358959821752	6.91863884067338e-16	1.11277410359436e-12
"ENSG00000159403.15"	6.85500716388323	8.32754678400084	7.44999552421221e-16	1.16495166123466e-12
"ENSG00000140505.6"	10.6459020140273	5.2248593841626	9.31365206369907e-16	1.4170092314103e-12
"ENSG00000132965.9"	-6.70624109964765	6.11488395535613	1.14674449422092e-15	1.69878125824153e-12
"ENSG00000197956.9"	-6.57294790738678	10.7377783369805	1.21024858297409e-15	1.74688521747078e-12
"ENSG00000155465.18"	-6.91599737898298	7.86773141728665	1.26998868963981e-15	1.78728683264734e-12
"ENSG00000183549.10"	10.3511579489655	6.95143193356701	1.30242803238415e-15	1.78823368846343e-12
"ENSG00000186529.15"	10.4415170440854	5.02301502702285	1.39049861286554e-15	1.86369853366762e-12
"ENSG00000002933.7"	6.34330714024799	6.46449487505563	1.48067709908687e-15	1.93841292881157e-12
"ENSG00000005421.8"	10.0447753109103	8.05047834794167	1.69356292029684e-15	2.16672130618796e-12
"ENSG00000131981.15"	-6.26951224703105	6.33697897399401	2.35343641252316e-15	2.88290995402027e-12
"ENSG00000169908.11"	-6.6663677464184	10.1659557731279	2.35577883369038e-15	2.88290995402027e-12
"ENSG00000180432.5"	10.4876756006968	5.06858503936443	2.72025465073228e-15	3.25811266071643e-12
"ENSG00000089356.18"	-8.39790188047628	7.48572177654453	3.43215469579343e-15	4.02152027943030e-12
"ENSG00000138772.12"	-5.89453317170807	8.73781991650501	3.50051504968797e-15	4.02152027943030e-12
"ENSG00000165140.9"	6.45184821874977	5.55340088134251	3.71231728379089e-15	4.17954953712881e-12
"ENSG00000233929.1"	8.7215410586442	7.36441563526714	3.86196434045539e-15	4.26277565916187e-12
"ENSG00000196616.13"	11.7640791456794	11.5145607157027	4.17090124995012e-15	4.51524123198927e-12
